3/25/1999,"Acquisto",0," --","3,200.00"," --",,,
3/25/1999,"Cauzione + 1a rata",0," --",863.35," --",,,
3/25/1999,"Benzina",15,40.00," --",35.4,,,
3/25/1999,"Vignetta autostradale",15,40.00," --"," --",,,
4/7/1999,"Benzina",427,30.00," --",26.2,,,
4/13/1999,"Benzina",771,30.00," --",25.7,,,
4/21/1999,"Servizio 1'000 km","1,049",88.80," --"," --",,,
4/24/1999,"Benzina","1,157",30.00," --",25.6,,,
4/24/1999,"Differenza circolazione","1,157",66.10," --"," --",,,
4/25/1999,"2a rata","1,200"," --",363.35," --",,,
4/30/1999,"Assicurazione 1° sem. 99","1,350",24.90," --"," --",,,
4/30/1999,"Circolazione 99","1,350",272.10," --"," --",,,
5/4/1999,"Benzina","1,542",30.00," --",25.4,,,
5/12/1999,"Benzina","1,926",35.00," --",29.4,,,
5/25/1999,"3a rata","2,310",40.00,363.35," --",,,
5/27/1999,"Benzina","2,333",30.00," --",25.2,,,
6/7/1999,"Benzina","2,745",30.00," --",25.6,,,
6/16/1999,"Benzina","3,140",30.00," --",25.7,,,
6/23/1999,"Benzina","3,481",30.00," --",25.2,,,
6/25/1999,"4a rata","3,520"," --",363.35," --",,,
6/30/1999,"Benzina","3,837",30.00," --",25.2,,,
6/30/1999,"Assicurazione 2° sem. 99","3,837",420.80," --"," --",,,
7/12/1999,"Benzina","4,213",30.00," --",24.8,,,
7/25/1999,"5a rata","4,517"," --",363.35," --",,,
8/1/1999,"Benzina","4,541",30.00," --",24.8,,,
8/13/1999,"Benzina","4,937",30.00," --",24.4,,,
8/21/1999,"Benzina","5,319",30.00," --",23.8,,,
8/25/1999,"Benzina","5,642",30.00," --",23.0,,,
8/25/1999,"6a rata","5,642"," --",363.35," --",,,
9/6/1999,"Benzina","6,038",30.00," --",24.2,,,
9/15/1999,"Benzina","6,421",30.00," --",24.2,,,
9/22/1999,"Benzina","6,790",30.00," --",23.8,,,
9/25/1999,"7a rata","6,850"," --",363.35," --",,,
10/3/1999,"Benzina","7,145",30.00," --",23.8,,,
10/9/1999,"Benzina","7,519",30.00," --",23.8,,,
10/14/1999,"Servizio 7'500 km","7,824",106.45," --"," --",,,
10/15/1999,"Benzina","7,900",30.00," --",23.8,,,
10/19/1999,"Benzina","8,249",50.00," --",39.6,,,
10/25/1999,"8a rata","8,520"," --",363.35," --",,,
11/4/1999,"Benzina","8,806",30.00," --",23.8,,,
11/13/1999,"Benzina","9,218",30.00," --",23.8,,,
11/20/1999,"Benzina","9,532",40.00," --",31.2,,,
11/25/1999,"Gomme neve (4 pzi)","9,690",344.00," --"," --",,,
11/25/1999,"9a rata","9,690"," --",363.35," --",,,
12/1/1999,"Benzina","9,948",40.00," --",30.5,,,
12/15/1999,"Benzina","10,407",40.05," --",30.6,,,
12/23/1999,"10a rata","10,700"," --",363.35," --",,,
12/27/1999,"Benzina","10,824",40.00," --",30.5,,,
12/30/1999,"Assicurazione 1° sem. 2000","10,890",420.20," --",,,,
1/7/2000,"Benzina","11,267",40.00," --",31.2,,,
1/15/2000,"Vignetta autostradale","11,450",40.00," --"," --",,,
1/25/2000,"11a rata","11,520"," --",363.35," --",,,
2/2/2000,"Benzina","11,434",30.00," --",22.9,,,
2/10/2000,"Benzina","11,976",40.00," --",30.1,,,
2/17/2000,"Benzina","12,439",40.00," --",30.1,,,
2/24/2000,"Benzina","12,922",40.00," --",29.4,,,
2/25/2000,"12a rata","13,100"," --",363.35," --",,,
2/29/2000,"Circolazione 2000","13,300",278.0," --"," --",,,
3/1/2000,"Benzina","13,342",40.00," --",29.4,,,
3/7/2000,"Benzina","13,724",39.00," --",28.1,,,
3/16/2000,"Benzina","14,156",40.00," --",28.8,,,
3/18/2000,"Cambio 4 gomme","14,255",70.00," --"," --",,,
3/25/2000,"13a rata","14,580"," --",363.35," --",,,
4/4/2000,"Benzina","14,602",40.00," --",28.8,,,
4/17/2000,"Benzina","15,019",40.00," --",29.4,,,
4/19/2000,"Servizio 15'000 km","15,069",272.60," --"," --",,,
4/25/2000,"14a rata","15,450"," --",363.35," --",,,
4/26/2000,"Benzina","15,489",40.00," --",29.4,,,
5/11/2000,"Benzina","15,952",40.00," --",28.4,,,
5/23/2000,"Benzina","16,296",40.00," --",27.8,,,
5/25/2000,"15a rata","16,350"," --",363.4," --",,,
6/5/2000,"Benzina","16,816"," --"," --",26.7,,,
6/16/2000,"Benzina","17,193",49.00," --",32.7,,,
6/25/2000,"16a rata","17,581"," --",363.35," --",,,
6/30/2000,"Assicurazione 2° sem. 2000","17,500",420.20," --"," --",,,
7/3/2000,"Benzina","17,741",40.00," --",26.5,,,
7/27/2000,"Benzina","18,146",40.00," --",30.3,,,
7/27/2000,"17a rata","18,146"," --",363.35," --",,,
8/10/2000,"Benzina","18,562",40.00," --",29.0,,,
8/25/2000,"18a rata","18,890"," --",363.35," --",,,
9/4/2000,"Benzina","18,954",46.10," --",32.5,,,
9/20/2000,"Benzina","19,527",40.00," --",24.8,,,
9/25/2000,"19a rata","19,690"," --",363.35," --",,,
10/5/2000,"Benzina","19,913",40.00," --",28.8,,,
10/13/2000,"Benzina","20,359",40.00," --",28.8,,,
10/20/2000,"Benzina","20,818",40.00," --",28.0,,,
10/25/2000,"20a rata","21,030"," --",363.35," --",,,
11/1/2000,"Benzina","21,241",41.00," --",28.1,,,
11/6/2000,"Cambio 4 gomme","21,394",68.00," --"," --",,,
11/17/2000,"Benzina","21,652",40.10," --",28.4,,,
11/25/2000,"21a rata","21,920"," --",363.35," --",,,
11/30/2000,"Benzina","22,045",40.00," --",28.4,,,
12/7/2000,"Benzina","22,469",40.00," --",29.2,,,
12/12/2000,"Servizio 22'500 km","22,541",126.00," --"," --",,,
12/21/2000,"Benzina","22,888",40.00," --",30.5,,,
12/24/2000,"22a rata","22,955"," --",363.35," --",,,
12/30/2000,"Assicurazione 1° sem. 2001","23,200",420.20," --"," --",,,
